address,cluster
0x00e527cf1f4fdb4c79744f1e49cbb1ed2b8e63ba,2
0x00e57a5053dc1bce5a271d7a2482db7abe43d6e3,2
0x00f0df30ff796dc5ebd37f468fc6a7d731625a5d,1
0x00f1ee4a1302264ba25d7c94afa36e62c5c168c5,0
0x00f368e652a90a76d60f1b782270db89831c6c83,0
0x00f4912e9090b3f12ce9456e278389b3ce6969d2,0
0x00f4bbd56287c3b642dde6ed8f03d2f85ab803c0,1
0x00f867a9464610bcea3a564b5857dce236d16483,0
0x00f9c5776f4d4b9de0972161089165313f9b3438,0
0x00fcec282ecf3521847daa9d48176963ce2cc69d,0
0x00fd51d64e59e7540ee3cdc9a4dd3420e42536de,0
0x0101b587fb1ac8c3a1273fb894f52cd8e4f79ad7,0
0x0106e09f7bf7ee93ebe3f801cbe98ceba1d528c5,1
0x010df5a778ffd6e0944dd46b22cc4f25d38ffa7e,0
0x011016cb79112f853ed6c4913570a8a8466fa9aa,2
0x011211ec9576923988c2fe5aa3a362528c4e7e64,0
0x0113df0486d293598837a778364c79bede118f3f,0
0x0113e9eaff775445a2fb865be3e22775dc18a573,1
0x011bd0940d3a6272319a9d2efb213118eb513bca,2
0x011e6921c434e49dacfa9cddae3de75141db0563,2
0x011ea817aa7b458933fdacdc3103c2b9d37bc728,0
0x011f4fab145210f8bde8ec77cb360cea0949e262,0
0x0120701845482355c2345aa31b4b5420aa4905f4,1
0x012556f150f1c84096667e1c823259cd2813ccda,0
0x01271a97bdd8d934438215670de96fa829812d36,0
0x012c6934d9e8e1422a48af53948754b58f373169,1
0x012cb630332bd1237db0ff121ab1466faebdbf25,0
0x012e414b3043e5de1714cc0a03fa6e0125efd80e,1
0x012f4a149d4abbee3529050d35316eb834ee9977,2
0x013206b6e7c4fda5f7aa908f5b652a90e782290c,2
0x01325d57876cd97071423d917ed243a0ff839725,2
0x01331c290e2799a38c55cdaaa46bb8fab2c8e5bb,0
0x013680b7a992ecfddd0775e2a2d4918a4a1930e3,2
0x0136b00be94ed8ea798f40e37135596337305461,0
0x013be21e40b81f9a23ab5d0b2aeaa4127936c66a,0
0x013f74fa460cd9c8ca80eec861ff81d9ba5df66e,2
0x0142e4928bd999cf854ea7764108b3e66b64b902,0
0x014386ece483fbbcba9895be5d88e2d2dcffb2c8,0
0x014824fda94b722820b504b7ffde78d27bd8e2b4,1
0x014e0d227dd7c8941d962d4f78e67bbe4f6a8a3e,2
0x015566197d36a8272e5d6aededf075ae9eb041e2,0
0x0155e31d9c01c28395277bd4210bf5c51965e8d6,1
0x015a0fe1a4a501f9897955c7b52cc9649d20779b,2
0x015c6e2db19ca99cad00bc86b8461af88a3cfaea,3
0x015ec1fa097ece8cadb1fcb8fafdd3b953b02e49,0
0x0160d37db424d194b2dcbfc2f7440de2dd7120e2,0
0x01634d5d672f427c8eb9a07c7d4ae9556ace4c2f,0
0x016643667541361fc7d3b32177daa97dc2d673d2,0
0x016937d01548a3eb188e92eee46487978036d63a,0
0x016a4537e67b8dd2bde4248890e329d0d2d569f6,0
0x016a88b7678abeecc7f9ad67ed33231e331d1358,0
0x01717b7ee44c3723b4803a11ee843b697ce6c103,0
0x0178274ec3e22cb684a35d829f5e15f66441e71a,0
0x0179460fd62e486fcb849f5a8b857821b29f3741,0
0x017abd5dd502bd28360bd1b50a21bfa66a833cbe,2
0x0181f3650757efb2dfae3cdc88a107c2988b49f1,0
0x0185548f209047f6358598bb9ac6581b6c8ed7ba,2
0x0186360230a2c62c56c380de3f59d615be2ff250,0
0x018695c5660fc0bf3a3f50c5d81477686c2ffa5e,0
0x01890278b91849689ee983e0bdbecb2ee2bbc3b7,2
0x018acc50c45132212b8315cd2ba1e07396ca63ed,0
0x018ba9fb85447d4a97f36be548fd6ee100548c73,3
0x018f372018de8cc757a7dbe3b30f007d17433000,1
0x0191abf73bb3ea7b22d3c7bc5aec6a683b7842e2,0
0x0194a690bb3fdff303e8bf5f58d9c3080771382b,1
0x019738b90e724f2d8b4e4e30d1d8436ab4b0acd4,2
0x019d577dfe7572e892630e12a510203abf7a0a29,0
0x019edcb493bd91e2b25b70f26d5d9041fd7ef946,1
0x01a09d88f98c371089b82a05b20bb6010f890fe1,0
0x01a1a9ad430723733e69a94bac147daf163fc932,0
0x01a23eba5023064d505dd45fbfa683a601c7685b,1
0x01a2b6c749b778053bc81551e23675f0aee641dc,0
0x01a3baa9496bf5df514c55683249db77bb6a86b4,0
0x01a44c60af90c735c0e36d88f02f2e2c17932408,0
0x01a54f876eada32a14a028950ca4a5a7f6f93627,1
0x01a7ad180c6d16adf9c29ab4720b6a62531c2fe2,0
0x01a96dee51008e20964d7ee6ba3012cec137cc39,2
0x01aa265078692ed2d97334d27db928f3907eaee5,0
0x01aded80b78963ebd50d4665e6a7afe503529fd3,2
0x01b23f8cc7fbf107b0f39aa0ba7c17ebafb5d618,1
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,1
0x01bdd23448f53594bcb8163055155194177c0fe2,0
0x01be346dc1636f029ec025c91c992f7b0d14bda5,0
0x01c081525b9110ebe9a87c9afab3932f50b7a282,0
0x01c62f8bbcf7f0f4b872e4d83dce16e61c079b7d,0
0x01cb0970dad8d3384ae562224430bfc90beff73f,2
0x01d61286e4b333c2611dac5c5b222bcf3c8c4362,3
0x01d7cb9f1828e9df3217c477d5a202c089a363b1,2
0x01ddb26f7c215ed317b83cf0c0023db7bd36117a,2
0x01ddb3afb245f6152c86b5eacd687788fea83b1c,0
0x01de494230b03989f9a2d8956fdfe5486d712ebf,0
0x01e340ba9d1ea0f8d7f3b9e07b2131eb7a9d0f3f,0
0x01e412e6da325f8190ca8929ba6c27df8a262534,0
0x01e46bbb3f24949df99e1e4e200642ef39cd3db2,0
0x01e596b30d53112c5f6a6b9338ea700e67b54f66,0
0x01e8a979e7c5a1bb5c7af02a5f11263d0af4c19e,1
0x01e8f9bfafa8c0af98b36eec45cbdb8a08f3a8f4,2
0x01eb09644fa7893b5c6cd50f01f9a7feee00f503,0
0x01eb13fff64d7949906264443eaced70efab53de,0
0x01ecfa95fa86d9e94eacb42cc0f892d43e191caf,0
0x01f0729390c53a01a6c1afc36c3804cc1c3eaead,1
0x01f34897c8afa59d126199c79e38a46a4e95adc7,0
0x01f60f0df3b71e19ac4d85b73a6fc59a4320ffc9,2
0x01f62aaab573774df981c72cf01c355e198da866,0
0x01f761805c90bc8abfaf504075afdb87e1e5dc08,0
0x01f92621addbd8b688fe6539f6a69a0f892502ec,0
0x01fb36cfb17cfc240d04133966e0d185ec9d677a,3
0x01ff42648cd5872805428404ee114a27a7c52162,0
0x0200aface79a36dbb982c792b7f0b5112ac70826,0
